recording_id,arm,n_windows,ridge_clearance_db,ridge_margin_half_db,fvk_well_p03,fvk_ratio_double,fvk_ratio_half,n_accept,n_doubled,pr_margin_half_min_db,within_window_std_rev_s,rate_spread_across_windows,mean_rate_rev_s,ref_mae_rev_s,wall_ladder_s
motor_Motor1_50,seedvk,3,2.112,-3.32,1.054,1.696,0.901,0,3,,0.126,0.046,98.08,,42.067
motor_Motor1_60,seedvk,3,2.456,-2.943,1.058,1.913,0.85,0,3,,0.205,0.051,117.63,,40.067
motor_Motor1_70,seedvk,3,7.751,1.535,1.087,1.096,1.173,3,0,,0.176,0.071,68.46,,39.933
motor_Motor1_80,seedvk,2,8.011,2.194,1.076,0.909,1.146,0,0,,0.178,0.022,78.25,,42.05
motor_Motor1_90,seedvk,2,8.561,1.943,1.133,1.269,1.233,2,0,,0.327,0.135,87.92,,41.7
motor_Motor2_50,seedvk,2,1.965,-1.466,1.031,1.373,0.811,1,1,,0.187,0.04,96.96,,36.2
motor_Motor2_60,seedvk,2,1.876,-2.081,1.044,1.78,0.712,0,2,,0.499,0.075,116.76,,36.15
motor_Motor2_70,seedvk,2,7.662,1.842,1.085,1.656,1.279,2,0,,0.105,0.017,67.63,,41.3
motor_Motor2_80,seedvk,2,7.923,1.22,1.131,1.874,1.111,2,0,,0.118,0.013,77.31,,41.65
motor_Motor2_90,seedvk,2,8.156,2.226,1.043,0.69,1.019,0,0,,0.261,0.035,87.05,,41.3
motor_Motor3_50,seedvk,2,1.385,-3.737,1.018,1.286,0.587,0,2,,0.148,0.021,98.25,,41.75
motor_Motor3_60,seedvk,2,1.764,-4.348,1.046,1.825,0.663,0,2,,0.074,0.022,118.09,,41.8
motor_Motor3_70,seedvk,2,9.646,2.046,1.083,1.954,0.984,2,0,,0.138,0.004,68.67,,39.1
motor_Motor3_80,seedvk,2,8.833,1.809,1.091,1.509,1.059,2,0,,0.253,0.027,78.5,,36.0
motor_Motor3_90,seedvk,2,6.541,1.298,1.061,1.623,0.98,2,0,,0.236,0.017,88.44,,41.55
motor_Motor4_50,seedvk,2,1.666,-2.71,1.014,1.173,0.772,0,2,,0.146,0.019,99.66,,42.2
motor_Motor4_60,seedvk,2,1.656,-2.369,1.02,1.33,0.861,1,1,,0.152,0.011,119.5,,42.2
motor_Motor4_70,seedvk,2,9.075,2.703,1.032,1.223,0.978,2,0,,0.286,0.032,69.38,,42.05
motor_Motor4_80,seedvk,2,9.897,2.883,1.04,1.105,1.011,2,0,,0.318,0.093,79.41,,42.05
motor_Motor4_90,seedvk,2,12.57,4.037,1.049,1.465,0.972,2,0,,0.199,0.036,89.3,,39.15
motor_allMotors_70,seedvk,3,2.856,0.461,1.0,1.192,0.818,3,0,,0.127,0.025,68.71,,35.867
