uid,recording_id,window,arm,t0_s,dur_s,n_channels,ridge_clearance_db,ridge_clearance_mismatch_db,ridge_margin_half_db,ridge_margin_double_db,fvk_blind,fvk_well_p03,fvk_ratio_double,fvk_ratio_half,fvk_alias_ratio_half,seed_octave,coarse_halved,coarse_mode,spread_rev_s,pr_margin_half_min_db,pr_margin_half_max_db,pr_n_doubled,verdict,ref_mae_rev_s,wall_ladder_s,rps_mean_str,rps_std_max
motor_Motor1_50__w000,motor_Motor1_50,0,seedvk,0.0,20.0,8,1.56,0.099,-3.522,2.654,0.4608378970057266,1.054,1.724,0.913,0.85,False,,,0.0,,,,doubled,,42.1,98.1,0.1517
motor_Motor1_50__w001,motor_Motor1_50,1,seedvk,16.0,20.0,8,2.277,0.228,-3.453,3.076,0.4584138865145509,1.055,1.724,0.905,0.79,False,,,0.0,,,,doubled,,42.1,98.0,0.0816
motor_Motor1_50__w002,motor_Motor1_50,2,seedvk,25.0,20.0,8,2.5,0.714,-2.984,3.176,0.4967139910855921,1.053,1.641,0.884,0.794,False,,,0.0,,,,doubled,,42.0,98.1,0.1455
motor_Motor1_60__w000,motor_Motor1_60,0,seedvk,0.0,20.0,8,2.178,0.488,-2.991,4.375,0.4251493816814549,1.069,2.076,0.919,0.834,False,,,0.0,,,,doubled,,36.3,117.6,0.2517
motor_Motor1_60__w001,motor_Motor1_60,1,seedvk,16.0,20.0,8,2.712,0.349,-3.053,4.346,0.46693360774919407,1.061,1.921,0.843,0.837,False,,,0.0,,,,doubled,,41.8,117.6,0.0996
motor_Motor1_60__w002,motor_Motor1_60,2,seedvk,25.0,20.0,8,2.479,0.87,-2.785,4.505,0.5236972268289155,1.043,1.741,0.787,0.774,False,,,0.0,,,,doubled,,42.1,117.7,0.2642
motor_Motor1_70__w000,motor_Motor1_70,0,seedvk,0.0,20.0,8,8.418,0.07,1.83,3.332,0.3909488355869419,1.076,1.093,1.153,1.993,False,,,0.0,,,,accept,,41.8,68.5,0.261
motor_Motor1_70__w001,motor_Motor1_70,1,seedvk,16.0,20.0,8,9.285,0.227,1.762,4.081,0.36234042683524725,1.093,1.075,1.189,2.039,False,,,0.0,,,,accept,,36.3,68.5,0.0618
motor_Motor1_70__w002,motor_Motor1_70,2,seedvk,25.0,20.0,8,5.551,3.322,1.013,2.285,0.3776701756765212,1.092,1.121,1.177,1.932,False,,,0.0,,,,accept,,41.7,68.4,0.206
motor_Motor1_80__w000,motor_Motor1_80,0,seedvk,0.0,20.0,8,9.925,1.318,2.592,2.815,0.40510312600770326,1.073,0.898,1.148,2.066,False,,,0.0,,,,halved_or_ramp,,41.8,78.2,0.1961
motor_Motor1_80__w001,motor_Motor1_80,1,seedvk,5.0,20.0,8,6.096,1.279,1.795,1.778,0.4098668626877157,1.079,0.921,1.144,1.999,False,,,0.0,,,,halved_or_ramp,,42.3,78.3,0.1593
motor_Motor1_90__w000,motor_Motor1_90,0,seedvk,0.0,20.0,8,9.011,0.618,1.918,2.523,0.2862833586953726,1.127,1.25,1.265,2.479,False,,,0.0,,,,accept,,41.7,87.8,0.3042
motor_Motor1_90__w001,motor_Motor1_90,1,seedvk,5.0,20.0,8,8.112,0.839,1.968,2.661,0.286689982211374,1.139,1.288,1.201,2.381,False,,,0.0,,,,accept,,41.7,88.1,0.3504
motor_Motor2_50__w000,motor_Motor2_50,0,seedvk,0.0,20.0,8,1.724,0.217,-1.961,1.954,0.632168179680105,1.027,1.372,0.818,0.764,False,,,0.0,,,,doubled,,36.2,96.9,0.2112
motor_Motor2_50__w001,motor_Motor2_50,1,seedvk,5.0,20.0,8,2.206,1.953,-0.97,1.896,0.6181826682486762,1.035,1.374,0.805,0.793,False,,,0.0,,,,accept,,36.2,97.0,0.1636
motor_Motor2_60__w000,motor_Motor2_60,0,seedvk,0.0,20.0,8,2.057,0.025,-2.552,2.84,0.4978091354924908,1.041,1.82,0.697,0.646,False,,,0.0,,,,doubled,,36.1,116.7,0.4484
motor_Motor2_60__w001,motor_Motor2_60,1,seedvk,5.0,20.0,8,1.695,0.942,-1.61,1.946,0.5236991664009235,1.048,1.741,0.728,0.72,False,,,0.0,,,,doubled,,36.2,116.8,0.5488
motor_Motor2_70__w000,motor_Motor2_70,0,seedvk,0.0,20.0,8,9.452,0.018,2.089,4.019,0.3352508352253837,1.096,1.767,1.149,2.35,False,,,0.0,,,,accept,,41.3,67.6,0.097
motor_Motor2_70__w001,motor_Motor2_70,1,seedvk,5.0,20.0,8,5.873,1.153,1.595,2.73,0.4045200914294836,1.074,1.545,1.409,2.295,False,,,0.0,,,,accept,,41.3,67.6,0.1131
motor_Motor2_80__w000,motor_Motor2_80,0,seedvk,0.0,20.0,8,8.724,0.323,1.2,4.087,0.2761793477951055,1.125,1.881,1.126,2.089,False,,,0.0,,,,accept,,41.7,77.3,0.1448
motor_Motor2_80__w001,motor_Motor2_80,1,seedvk,5.0,20.0,8,7.122,1.337,1.239,2.894,0.2838019065273599,1.136,1.867,1.095,2.12,False,,,0.0,,,,accept,,41.6,77.3,0.0907
motor_Motor2_90__w000,motor_Motor2_90,0,seedvk,0.0,20.0,8,8.663,0.198,2.376,2.239,0.5058826468077001,1.045,0.633,1.034,1.786,False,,,0.0,,,,halved_or_ramp,,41.3,87.0,0.2229
motor_Motor2_90__w001,motor_Motor2_90,1,seedvk,5.0,20.0,8,7.649,0.625,2.075,1.111,0.5559596559441211,1.042,0.747,1.004,1.49,False,,,0.0,,,,halved_or_ramp,,41.3,87.1,0.2991
motor_Motor3_50__w000,motor_Motor3_50,0,seedvk,0.0,20.0,8,1.799,0.236,-5.2,2.595,0.6734042492491076,1.022,1.352,0.579,0.522,False,,,0.0,,,,doubled,,41.8,98.3,0.1617
motor_Motor3_50__w001,motor_Motor3_50,1,seedvk,5.0,20.0,8,0.971,0.577,-2.275,0.74,0.7663986324437306,1.015,1.22,0.596,0.556,False,,,0.0,,,,doubled,,41.7,98.2,0.1351
motor_Motor3_60__w000,motor_Motor3_60,0,seedvk,0.0,20.0,8,1.885,0.191,-4.833,3.331,0.5424540622848316,1.041,1.77,0.675,0.596,False,,,0.0,,,,doubled,,42.1,118.1,0.0913
motor_Motor3_60__w001,motor_Motor3_60,1,seedvk,5.0,20.0,8,1.642,0.063,-3.862,2.807,0.510118128689136,1.05,1.88,0.65,0.58,False,,,0.0,,,,doubled,,41.5,118.1,0.0557
motor_Motor3_70__w000,motor_Motor3_70,0,seedvk,0.0,20.0,8,10.424,0.267,2.013,4.954,0.4138576512835433,1.065,1.738,0.966,1.885,False,,,0.0,,,,accept,,42.1,68.7,0.1682
motor_Motor3_70__w001,motor_Motor3_70,1,seedvk,5.0,20.0,8,8.867,1.145,2.079,3.666,0.33206433267707436,1.1,2.171,1.003,1.973,False,,,0.0,,,,accept,,36.1,68.7,0.1082
motor_Motor3_80__w000,motor_Motor3_80,0,seedvk,0.0,20.0,8,10.066,0.594,2.064,3.454,0.3372112466472533,1.089,1.545,1.083,2.158,False,,,0.0,,,,accept,,35.9,78.5,0.2635
motor_Motor3_80__w001,motor_Motor3_80,1,seedvk,5.0,20.0,8,7.6,2.159,1.555,2.096,0.37649198592066807,1.092,1.473,1.036,1.833,False,,,0.0,,,,accept,,36.1,78.5,0.2434
motor_Motor3_90__w000,motor_Motor3_90,0,seedvk,0.0,20.0,8,6.862,0.18,1.13,2.243,0.4239617374999636,1.06,1.651,0.984,1.68,False,,,0.0,,,,accept,,41.5,88.4,0.3145
motor_Motor3_90__w001,motor_Motor3_90,1,seedvk,5.0,20.0,8,6.22,1.767,1.467,2.107,0.4649355854060942,1.062,1.594,0.976,1.661,False,,,0.0,,,,accept,,41.6,88.5,0.1585
motor_Motor4_50__w000,motor_Motor4_50,0,seedvk,0.0,20.0,8,1.908,0.532,-3.544,2.44,0.7470618632441702,1.016,1.212,0.748,0.704,False,,,0.0,,,,doubled,,42.1,99.7,0.1683
motor_Motor4_50__w001,motor_Motor4_50,1,seedvk,5.0,20.0,8,1.424,0.77,-1.876,1.419,0.8173801817398638,1.011,1.135,0.796,0.772,False,,,0.0,,,,doubled,,42.3,99.6,0.1241
motor_Motor4_60__w000,motor_Motor4_60,0,seedvk,0.0,20.0,8,2.779,0.073,-3.295,3.109,0.6896277123130478,1.021,1.368,0.89,0.834,False,,,0.0,,,,doubled,,42.1,119.5,0.1622
motor_Motor4_60__w001,motor_Motor4_60,1,seedvk,5.0,20.0,8,0.534,0.766,-1.442,1.146,0.7361348064991592,1.02,1.292,0.833,0.804,False,,,0.0,,,,accept,,42.3,119.5,0.1414
motor_Motor4_70__w000,motor_Motor4_70,0,seedvk,0.0,20.0,8,10.908,0.031,2.915,4.888,0.5918748360405203,1.032,1.226,0.969,1.607,False,,,0.0,,,,accept,,42.1,69.3,0.3152
motor_Motor4_70__w001,motor_Motor4_70,1,seedvk,5.0,20.0,8,7.243,3.917,2.49,2.829,0.6171742682327659,1.032,1.22,0.986,1.655,False,,,0.0,,,,accept,,42.0,69.4,0.2576
motor_Motor4_80__w000,motor_Motor4_80,0,seedvk,0.0,20.0,8,10.503,0.117,2.963,3.551,0.5436282591022336,1.04,1.065,1.025,1.664,False,,,0.0,,,,accept,,41.9,79.3,0.385
motor_Motor4_80__w001,motor_Motor4_80,1,seedvk,5.0,20.0,8,9.291,1.582,2.803,3.249,0.5725772105722342,1.04,1.145,0.998,1.592,False,,,0.0,,,,accept,,42.2,79.5,0.2502
motor_Motor4_90__w000,motor_Motor4_90,0,seedvk,0.0,20.0,8,13.323,0.047,4.157,5.268,0.49136116312125616,1.048,1.456,0.993,1.836,False,,,0.0,,,,accept,,42.5,89.3,0.2142
motor_Motor4_90__w001,motor_Motor4_90,1,seedvk,5.0,20.0,8,11.818,1.215,3.918,4.721,0.5300111748622324,1.05,1.473,0.952,1.73,False,,,0.0,,,,accept,,35.8,89.3,0.1845
motor_allMotors_70__w000,motor_allMotors_70,0,seedvk,0.0,20.0,8,3.371,0.275,0.681,1.73,0.7619427282530415,1.003,1.263,0.804,0.977,False,,,0.0,,,,accept,,36.2,68.7,0.1302
motor_allMotors_70__w001,motor_allMotors_70,1,seedvk,16.0,20.0,8,2.349,-0.24,0.232,1.631,0.8427501353444107,0.999,1.132,0.828,1.033,False,,,0.0,,,,accept,,36.4,68.7,0.1283
motor_allMotors_70__w002,motor_allMotors_70,2,seedvk,25.0,20.0,8,2.849,0.652,0.471,1.218,0.8035221754260595,0.998,1.181,0.821,1.09,False,,,0.0,,,,accept,,35.0,68.7,0.1223
