uid,recording_id,window,arm,t0_s,dur_s,n_channels,ridge_clearance_db,ridge_clearance_mismatch_db,ridge_margin_half_db,ridge_margin_double_db,fvk_blind,fvk_well_p03,fvk_ratio_double,fvk_ratio_half,fvk_alias_ratio_half,seed_octave,coarse_halved,coarse_mode,spread_rev_s,pr_margin_half_min_db,pr_margin_half_max_db,pr_n_doubled,verdict,ref_mae_rev_s,wall_ladder_s,rps_mean_str,rps_std_max
free-flight_nosource_room2__w000,free-flight_nosource_room2,0,fullrange,0.0,20.0,8,,,,,0.9227350673872176,0.996,1.037,0.945,0.999,False,True,coarse,0.548,,,,halved_or_ramp,33.3005,296.1,"36.5, 36.5, 37.1, 37.0",6.8116
free-flight_nosource_room2__w001,free-flight_nosource_room2,1,fullrange,16.0,20.0,8,,,,,0.9102037694376683,0.983,1.024,0.967,1.028,False,True,const-steady,0.1,,,,halved_or_ramp,40.155,270.1,"40.8, 40.8, 40.8, 40.7",1.0049
free-flight_nosource_room2__w002,free-flight_nosource_room2,2,fullrange,32.0,20.0,8,-0.036,-0.243,-0.577,0.396,0.8322179375120312,1.002,1.054,0.914,0.977,False,True,const-steady,0.69,-0.824,-0.33,0,halved_or_ramp,39.4323,266.7,"41.2, 41.0, 41.7, 41.5",0.7153
free-flight_nosource_room2__w003,free-flight_nosource_room2,3,fullrange,48.0,20.0,8,-0.24,-0.041,-0.28,-0.059,0.8083306814847666,1.008,1.191,0.962,0.984,False,False,const-steady,0.957,-0.468,0.005,0,accept,3.4683,274.7,"82.4, 83.3, 83.0, 82.8",1.758
free-flight_nosource_room2__w004,free-flight_nosource_room2,4,fullrange,61.632,20.0,8,,,,,0.8968719924188959,1.0,1.032,0.946,0.967,False,True,coarse,0.189,,,,halved_or_ramp,40.0576,285.4,"38.7, 38.7, 38.9, 38.9",3.6957
hovering_nosource_room2__w000,hovering_nosource_room2,0,fullrange,0.0,20.0,8,0.284,-0.2,0.436,-0.685,0.8335837939068549,0.956,1.04,0.938,0.983,False,True,coarse,1.043,-0.549,1.396,0,halved_or_ramp,34.7302,314.9,"36.2, 36.8, 36.3, 37.3",5.5398
hovering_nosource_room2__w001,hovering_nosource_room2,1,fullrange,16.0,20.0,8,0.115,-0.018,0.066,-0.006,0.8348922288790614,0.985,1.141,0.965,0.968,False,False,const-steady,2.716,-0.904,1.171,0,accept,2.3021,273.1,"78.7, 80.9, 80.2, 81.4",2.389
hovering_nosource_room2__w002,hovering_nosource_room2,2,fullrange,24.879,20.0,8,-0.5,-0.536,-0.547,-0.393,0.8974612838772835,0.999,1.079,0.966,0.963,False,False,coarse,0.652,-0.893,-0.118,0,accept,7.1955,277.7,"78.1, 77.7, 78.3, 77.9",10.5166
rectangle_nosource_room2__w000,rectangle_nosource_room2,0,fullrange,0.0,20.0,8,1.379,-1.048,3.341,0.755,0.8205698095877938,1.0,1.054,0.897,0.964,False,True,coarse,6.109,3.341,3.341,0,halved_or_ramp,38.5269,326.8,"35.7, 39.6, 37.8, 41.9",5.2304
rectangle_nosource_room2__w001,rectangle_nosource_room2,1,fullrange,16.0,20.0,8,0.145,0.212,-0.271,0.158,0.7925111406862818,1.007,1.214,0.955,0.947,False,False,const-steady,5.41,-0.743,0.377,0,accept,2.6378,269.5,"77.2, 82.6, 81.8, 81.9",2.1355
rectangle_nosource_room2__w002,rectangle_nosource_room2,2,fullrange,24.379,20.0,8,-0.179,-0.299,-0.281,-0.183,0.7959192782534328,0.991,1.202,0.953,0.977,False,False,coarse,0.647,-0.744,0.238,0,accept,3.9135,284.9,"83.3, 82.7, 83.3, 82.7",3.03
spinning_nosource_room2__w000,spinning_nosource_room2,0,fullrange,0.0,20.0,8,-1.684,-1.602,-1.127,-2.774,0.8808896523090685,0.993,1.041,0.941,0.998,False,True,coarse,0.518,-3.554,1.3,1,doubled,39.6728,275.1,"42.0, 42.3, 41.8, 42.3",3.2526
spinning_nosource_room2__w001,spinning_nosource_room2,1,fullrange,16.0,20.0,8,0.242,0.312,-0.162,0.05,0.8778940996018159,1.0,1.108,0.956,0.978,False,False,const-steady,0.939,-0.261,-0.063,0,accept,2.1013,254.5,"81.0, 81.0, 80.8, 81.8",1.0682
spinning_nosource_room2__w002,spinning_nosource_room2,2,fullrange,20.629,20.0,8,,,,,0.901736493244677,1.003,1.026,0.95,0.956,False,True,coarse,0.211,,,,halved_or_ramp,40.7589,292.9,"39.0, 39.0, 39.2, 39.2",4.1275
updown_nosource_room2__w000,updown_nosource_room2,0,fullrange,0.0,20.0,8,,,,,0.9281486326135707,1.0,1.029,0.95,0.996,False,True,coarse,0.669,,,,halved_or_ramp,35.5677,246.3,"38.1, 37.9, 38.6, 38.6",5.6041
updown_nosource_room2__w001,updown_nosource_room2,1,fullrange,16.0,20.0,8,0.187,-0.548,-0.805,0.033,0.8133942590907559,1.003,1.195,0.98,0.97,False,False,const-steady,0.711,-0.805,-0.805,0,accept,3.3797,225.9,"82.8, 82.7, 83.5, 83.0",1.8811
updown_nosource_room2__w002,updown_nosource_room2,2,fullrange,32.0,20.0,8,0.229,0.353,-0.113,0.795,0.8772991033221025,1.0,1.043,0.933,0.975,False,True,coarse,1.157,-0.38,0.154,0,halved_or_ramp,42.7126,238.5,"39.4, 39.5, 39.9, 38.8",5.2474
