uid,recording_id,window,arm,t0_s,dur_s,n_channels,ridge_clearance_db,ridge_clearance_mismatch_db,ridge_margin_half_db,ridge_margin_double_db,fvk_blind,fvk_well_p03,fvk_ratio_double,fvk_ratio_half,fvk_alias_ratio_half,seed_octave,coarse_halved,coarse_mode,spread_rev_s,pr_margin_half_min_db,pr_margin_half_max_db,pr_n_doubled,verdict,ref_mae_rev_s,wall_ladder_s,rps_mean_str,rps_std_max
0Nm_BPFI_03__w000,0Nm_BPFI_03,0,seedvk,0.0,20.0,1,-0.263,0.011,0.746,-0.441,0.8649470184002721,0.906,1.108,1.095,1.061,False,,,0.0,,,,accept,,5.1,100.6,0.0023
0Nm_BPFI_03__w001,0Nm_BPFI_03,1,seedvk,16.0,20.0,1,-0.162,0.01,0.354,0.332,0.8627395555647477,0.906,1.11,1.095,1.037,False,,,0.0,,,,accept,,5.1,100.6,0.0036
0Nm_BPFI_03__w002,0Nm_BPFI_03,2,seedvk,32.0,20.0,1,-0.022,0.0,0.061,-0.194,0.8612768457910417,0.902,1.111,1.096,1.057,False,,,0.0,,,,accept,,5.2,100.6,0.0028
0Nm_BPFI_03__w003,0Nm_BPFI_03,3,seedvk,40.0,20.0,1,-0.176,0.004,0.611,-0.609,0.8616213238408109,0.901,1.112,1.097,1.063,False,,,0.0,,,,accept,,5.1,100.6,0.0026
0Nm_BPFI_10__w000,0Nm_BPFI_10,0,seedvk,0.0,20.0,1,10.98,-0.0,4.349,1.287,0.9431696191306242,0.98,0.91,1.06,1.186,True,,,0.0,,,,halved_or_ramp,,5.1,50.3,0.0084
0Nm_BPFI_10__w001,0Nm_BPFI_10,1,seedvk,16.0,20.0,1,11.05,-0.043,4.641,1.923,0.9439541302636294,0.981,0.907,1.039,1.214,True,,,0.0,,,,halved_or_ramp,,5.1,50.3,0.0072
0Nm_BPFI_10__w002,0Nm_BPFI_10,2,seedvk,32.0,20.0,1,11.603,0.033,4.958,1.774,0.9419052926133976,0.98,0.909,1.14,1.306,True,,,0.0,,,,halved_or_ramp,,5.0,50.3,0.0054
0Nm_BPFI_10__w003,0Nm_BPFI_10,3,seedvk,40.0,20.0,1,11.065,-0.011,4.261,1.644,0.9434153856616598,0.98,0.908,1.059,1.194,True,,,0.0,,,,halved_or_ramp,,5.2,50.3,0.0065
0Nm_BPFO_03__w000,0Nm_BPFO_03,0,seedvk,0.0,20.0,1,5.075,-0.001,1.549,-1.015,0.63970391045061,0.988,1.069,1.239,1.368,False,,,0.0,,,,accept,,4.9,91.3,0.0067
0Nm_BPFO_03__w001,0Nm_BPFO_03,1,seedvk,16.0,20.0,1,4.716,-0.017,1.116,-1.151,0.6123785169237355,0.987,1.081,1.274,1.256,False,,,0.0,,,,accept,,4.9,91.3,0.0073
0Nm_BPFO_03__w002,0Nm_BPFO_03,2,seedvk,32.0,20.0,1,4.82,-0.024,1.315,-1.536,0.6351957391427808,0.992,1.069,1.257,1.403,False,,,0.0,,,,accept,,4.9,91.3,0.0061
0Nm_BPFO_03__w003,0Nm_BPFO_03,3,seedvk,40.0,20.0,1,4.931,0.001,1.472,-1.177,0.6509123924751147,0.991,1.062,1.23,1.331,False,,,0.0,,,,halved_or_ramp,,5.0,91.3,0.0054
0Nm_BPFO_10__w000,0Nm_BPFO_10,0,seedvk,0.0,20.0,1,5.828,0.017,0.511,-3.314,0.04931281114472784,2.017,1.026,7.252,1.901,False,,,0.0,,,,halved_or_ramp,,4.9,91.7,0.0044
0Nm_BPFO_10__w001,0Nm_BPFO_10,1,seedvk,16.0,20.0,1,5.2,0.006,0.519,-3.62,0.04896865205678997,2.024,1.016,7.247,1.764,False,,,0.0,,,,halved_or_ramp,,5.0,91.7,0.0044
0Nm_BPFO_10__w002,0Nm_BPFO_10,2,seedvk,32.0,20.0,1,5.712,-0.001,0.349,-3.47,0.04870058863225833,2.03,1.023,7.441,1.9,False,,,0.0,,,,halved_or_ramp,,5.0,91.7,0.0042
0Nm_BPFO_10__w003,0Nm_BPFO_10,3,seedvk,40.0,20.0,1,5.896,0.014,0.861,-3.404,0.04996151783740381,2.003,1.023,7.429,2.072,False,,,0.0,,,,halved_or_ramp,,5.0,91.7,0.0039
0Nm_Normal__w000,0Nm_Normal,0,seedvk,0.0,20.0,1,-0.756,-0.001,-1.342,-1.147,0.9156662546343501,0.983,1.019,0.896,0.904,False,,,0.0,,,,halved_or_ramp,,4.8,99.9,0.0376
0Nm_Normal__w001,0Nm_Normal,1,seedvk,16.0,20.0,1,-1.008,-0.169,-1.897,-1.074,0.9238694701507366,0.988,1.016,0.903,0.896,False,,,0.0,,,,doubled,,4.8,99.9,0.0447
0Nm_Normal__w002,0Nm_Normal,2,seedvk,32.0,20.0,1,2.161,-0.003,0.51,0.963,0.8782264443770119,0.989,1.077,0.911,0.961,False,,,0.0,,,,accept,,4.8,119.2,0.0079
0Nm_Normal__w003,0Nm_Normal,3,seedvk,40.0,20.0,1,-0.255,0.007,-1.256,-0.803,0.9270281293044661,0.988,1.011,0.901,0.919,False,,,0.0,,,,halved_or_ramp,,4.9,99.9,0.0352
