model,snr_level,n_samples,si_sdr,estoi,pesq
DCUNet baseline,-30,46,-34.3543,0.0318,1.1108
DCUNet baseline,-25,83,-30.2504,0.0342,1.1562
DCUNet baseline,-20,84,-17.035,0.098,1.0743
DCUNet baseline,-15,110,-6.1358,0.1748,1.0505
DCUNet baseline,-10,108,-0.5888,0.2806,1.0842
DCUNet baseline,-5,108,3.2807,0.4465,1.2468
DCUNet baseline,0,61,5.1277,0.553,1.3626
DCUNet baseline,Overall,600,-9.3224,0.2401,1.1462
DCUNet + RPS,-30,46,-28.3316,0.0383,1.1299
DCUNet + RPS,-25,83,-23.7074,0.0355,1.1385
DCUNet + RPS,-20,84,-14.5555,0.0946,1.0788
DCUNet + RPS,-15,110,-5.5771,0.1749,1.0476
DCUNet + RPS,-10,108,-0.5902,0.2798,1.0803
DCUNet + RPS,-5,108,2.8781,0.438,1.2206
DCUNet + RPS,0,61,4.9968,0.5419,1.3427
DCUNet + RPS,Overall,600,-7.592,0.2374,1.1379
DCCRN baseline,-30,46,-26.5401,0.0322,1.198
DCCRN baseline,-25,83,-21.1945,0.0433,1.1199
DCCRN baseline,-20,84,-10.9028,0.11,1.073
DCCRN baseline,-15,110,-2.8602,0.2026,1.0573
DCCRN baseline,-10,108,1.1011,0.3165,1.104
DCCRN baseline,-5,108,5.2918,0.4952,1.2352
DCCRN baseline,0,61,7.0355,0.5964,1.2688
DCCRN baseline,Overall,600,-5.1514,0.2677,1.1409
DCCRN + RPS,-30,46,-42.8369,0.0204,1.0899
DCCRN + RPS,-25,83,-36.019,0.0231,1.187
DCCRN + RPS,-20,84,-23.052,0.0772,1.0615
DCCRN + RPS,-15,110,-10.5389,0.1561,1.0374
DCCRN + RPS,-10,108,-3.6747,0.2645,1.0565
DCCRN + RPS,-5,108,3.2828,0.4531,1.174
DCCRN + RPS,0,61,6.7249,0.5811,1.2968
DCCRN + RPS,Overall,600,-12.813,0.2324,1.1199
