model,snr_level,n_samples,si_sdr,estoi,pesq
DCUNet baseline,-30,46,-34.3543,0.0318,1.1108
DCUNet baseline,-25,83,-30.2504,0.0342,1.1562
DCUNet baseline,-20,84,-17.035,0.098,1.0743
DCUNet baseline,-15,110,-6.1358,0.1748,1.0505
DCUNet baseline,-10,108,-0.5888,0.2806,1.0842
DCUNet baseline,-5,108,3.2807,0.4465,1.2468
DCUNet baseline,0,61,5.1277,0.553,1.3626
DCUNet baseline,Overall,600,-9.3224,0.2401,1.1462
DCUNet+RPS,-30,46,-28.3316,0.0383,1.1299
DCUNet+RPS,-25,83,-23.7074,0.0355,1.1385
DCUNet+RPS,-20,84,-14.5555,0.0946,1.0788
DCUNet+RPS,-15,110,-5.5771,0.1749,1.0476
DCUNet+RPS,-10,108,-0.5902,0.2798,1.0803
DCUNet+RPS,-5,108,2.8781,0.438,1.2206
DCUNet+RPS,0,61,4.9968,0.5419,1.3427
DCUNet+RPS,Overall,600,-7.592,0.2374,1.1379
DCUNet+RPS+PredRPS*,-30,46,-45.8041,0.0236,1.4339
DCUNet+RPS+PredRPS*,-25,83,-48.8133,0.0136,1.6776
DCUNet+RPS+PredRPS*,-20,84,-40.6572,0.0441,1.5366
DCUNet+RPS+PredRPS*,-15,110,-28.6008,0.0819,1.421
DCUNet+RPS+PredRPS*,-10,108,-16.6213,0.152,1.2013
DCUNet+RPS+PredRPS*,-5,108,-5.2382,0.2588,1.046
DCUNet+RPS+PredRPS*,0,61,-2.0116,0.3297,1.0584
DCUNet+RPS+PredRPS*,Overall,600,-25.3389,0.1323,1.3298
DCCRN baseline,-30,46,-26.597,0.0336,1.1006
DCCRN baseline,-25,83,-21.7146,0.0437,1.123
DCCRN baseline,-20,84,-12.1179,0.1108,1.0655
DCCRN baseline,-15,110,-3.8598,0.2028,1.0511
DCCRN baseline,-10,108,0.6508,0.3161,1.0962
DCCRN baseline,-5,108,5.0686,0.4922,1.2223
DCCRN baseline,0,61,7.2953,0.5881,1.236
DCCRN baseline,Overall,600,-5.6759,0.2666,1.1246
DCCRN+RPS,-30,46,-31.916,0.0232,1.1738
DCCRN+RPS,-25,83,-26.3487,0.0278,1.122
DCCRN+RPS,-20,84,-16.1748,0.086,1.0684
DCCRN+RPS,-15,110,-5.958,0.1689,1.0458
DCCRN+RPS,-10,108,-0.7281,0.2826,1.0768
DCCRN+RPS,-5,108,4.6044,0.4649,1.224
DCCRN+RPS,0,61,7.6229,0.5779,1.3404
DCCRN+RPS,Overall,600,-7.9758,0.2419,1.1369
DCCRN+RPS+PredRPS*,-30,46,-27.9409,0.0332,1.1188
DCCRN+RPS+PredRPS*,-25,83,-23.5001,0.0318,1.1422
DCCRN+RPS+PredRPS*,-20,84,-15.988,0.0934,1.108
DCCRN+RPS+PredRPS*,-15,110,-7.6414,0.1709,1.0496
DCCRN+RPS+PredRPS*,-10,108,-1.8041,0.2664,1.0532
DCCRN+RPS+PredRPS*,-5,108,2.5259,0.4113,1.1473
DCCRN+RPS+PredRPS*,0,61,4.2201,0.5128,1.2502
DCCRN+RPS+PredRPS*,Overall,600,-8.4733,0.2255,1.1145
