#,Model,PIT MSE,RMSE,MAE/f,MAE/c,R2
1,scv2,7.8920,2.8100,2.08,1.62,0.8183
2,scv2_smol_causal_tcn,8.3806,2.8900,1.93,1.46,0.8331
3,scv2_gru96,8.6612,2.9400,2.07,1.62,0.8216
4,scv2_dwt,8.8957,2.9800,2.12,1.70,0.8133
5,scv2_multires,8.9704,3.0000,2.17,1.62,0.8088
6,scv2_smol_tcn,9.0751,3.0100,1.89,1.31,0.8318
7,scv2_dual_pool,9.8217,3.1300,2.37,1.93,0.7462
8,scv2_magphase,10.4266,3.2300,2.39,1.85,0.7466
9,scv2_tcn,10.7799,3.2800,2.22,1.72,0.7606
10,scv2_smol_bigru,11.3410,3.3700,2.34,1.73,0.7461
11,scv2_uni_gru96_norm_do03,13.1309,3.6200,2.64,2.12,0.7340
12,scv2_causal_tcn,14.1444,3.7600,2.70,2.19,0.6025
13,smol_tcn,17.4362,4.1800,2.95,2.35,0.4048
14,scv2_local_attn,18.5846,4.3100,3.25,2.71,0.5213
15,scv2_uni_gru128_norm,20.2943,4.5000,2.34,1.81,0.7391
16,simple_conv_tcn,24.5623,4.9600,3.35,2.68,0.3952
17,scv2_uni_gru128,39.8099,6.3100,4.12,3.80,-0.5486
18,scv2_transformer,43.5184,6.6000,5.03,4.58,-0.6571
19,smol_causal_tcn,49.6064,7.0400,5.97,4.86,-0.3305
20,scv2_uni_gru96_norm_do02,65.4811,8.0900,4.43,3.88,-1.2644
21,scv2_causal_gru,83.5143,9.1400,5.50,5.08,-2.8866
22,scv2_uni_gru64_norm_do03,95.4777,9.7700,4.96,4.60,-3.7860
23,smol_simple_head,141.0523,11.8800,10.03,9.58,-3.8919
24,scv2_uni_gru128_norm_do03,218.0722,14.7700,7.49,7.22,-11.7088
25,scv2_uni_gru,228.6723,15.1200,9.82,9.13,-10.4445
26,scv2_causal_gru96,253.5939,15.9200,8.14,7.73,-12.6410
