#,Model,PIT MSE,RMSE,MAE/f,MAE/c,R2
1,scv2_uni_gru128,7.3264,2.7100,2.04,1.55,0.8224
2,scv2_uni_gru128_norm,7.9864,2.8300,2.11,1.62,0.8024
3,scv2_magphase,8.1824,2.8600,2.06,1.54,0.8348
4,scv2_uni_gru128_norm_do03,8.2826,2.8800,2.15,1.69,0.8057
5,scv2_uni_gru96_norm_do03,8.3325,2.8900,2.26,1.87,0.8059
6,scv2_transformer,8.4629,2.9100,2.16,1.68,0.8085
7,scv2_dual_pool,8.4940,2.9100,2.29,1.80,0.7888
8,scv2,8.5349,2.9200,2.00,1.56,0.8332
9,scv2_uni_gru,8.7301,2.9500,2.28,1.88,0.8030
10,scv2_multires,8.7521,2.9600,2.27,1.87,0.7710
11,scv2_dwt,8.8512,2.9800,2.32,1.87,0.7828
12,scv2_smol_causal_tcn,8.9874,3.0000,2.02,1.56,0.8237
13,scv2_uni_gru96_norm_do02,9.3224,3.0500,2.31,1.88,0.7946
14,scv2_smol_bigru,9.5475,3.0900,2.38,2.01,0.8052
15,scv2_local_attn,10.0549,3.1700,2.37,1.86,0.7637
16,scv2_gru96,10.7942,3.2900,2.51,2.12,0.7886
17,scv2_causal_tcn,11.3739,3.3700,2.35,1.73,0.7458
18,scv2_causal_gru96,11.4611,3.3900,2.50,2.03,0.7657
19,smol_tcn,11.8746*,—,2.60,1.99,0.7270
20,scv2_tcn,12.4689,3.5300,2.80,2.34,0.6924
21,scv2_smol_tcn,12.6057,3.5500,2.49,1.83,0.6863
22,smol_causal_tcn,12.9773,3.6000,2.59,1.94,0.6755
23,smol_simple_head,13.7097,3.7000,2.51,1.92,0.6900
24,simple_conv_tcn,14.1221,3.7600,2.77,2.17,0.6832
25,scv2_causal_gru,14.6395,3.8300,2.48,2.04,0.7703
26,scv2_uni_gru64_norm_do03,88.8055,9.4200,7.60,7.27,-1.8765
