noise_type,snr_db,mean_error,mean_confidence
white,20.0,0.07619572905125431,0.28916982747614384
white,10.0,0.0771039274707339,0.17396792769432068
white,5.0,0.08021303218859661,0.11558155218760173
white,0.0,0.08426412368325265,0.07275635004043579
white,-5.0,0.15651518996106006,0.04055389016866684
white,-10.0,0.3027773037089843,0.0234571968515714
white,-15.0,0.6290044423204397,0.01364704966545105
pink,20.0,0.07673748759635533,0.31888256532450515
pink,10.0,0.07642482377948943,0.21011623367667198
pink,5.0,0.07806199281846442,0.14405193676551184
pink,0.0,0.08023881467904037,0.0859070544441541
pink,-5.0,0.1530534926054957,0.04341661433378855
pink,-10.0,0.25284013303700753,0.020243422438700993
pink,-15.0,0.8230928398978817,0.009181775152683258
speech,20.0,0.06937152956760957,0.22894129327808818
speech,10.0,0.07925224371656019,0.11216009672110279
speech,5.0,0.10841394757358318,0.06794336996972561
speech,0.0,0.16210356890006072,0.04026829885939757
speech,-5.0,0.24027252782143094,0.02549060620367527
speech,-10.0,0.41418896007974704,0.018419822057088215
speech,-15.0,0.44638211596303695,0.017151435216267902
