category,input_snr,method,n,si_sdr,sdr,pesq,estoi
all,-30.0,noisy,50,-30.9602,-29.9995,1.0469,0.0456
all,-30.0,wiener,50,-31.0878,-29.6544,1.0655,0.0453
all,-25.0,noisy,50,-26.2906,-24.4997,1.0601,0.0494
all,-25.0,wiener,50,-26.3055,-24.0328,1.0837,0.0504
all,-20.0,noisy,50,-20.0366,-20.0000,1.0681,0.1117
all,-20.0,wiener,50,-19.9828,-19.5623,1.0600,0.1080
all,-15.0,noisy,50,-16.4045,-14.7000,1.0574,0.2342
all,-15.0,wiener,50,-16.2732,-14.2503,1.0611,0.2311
all,-10.0,noisy,50,-10.0166,-10.0000,1.0985,0.2762
all,-10.0,wiener,50,-9.9641,-9.5766,1.1053,0.2741
all,-5.0,noisy,50,-5.0544,-5.0000,1.0708,0.4230
all,-5.0,wiener,50,-4.9580,-4.5290,1.0768,0.4241
all,0.0,noisy,50,-4.8029,0.0000,1.0998,0.4677
all,0.0,wiener,50,-4.6646,0.3912,1.1042,0.4677
