category,input_snr,method,n,si_sdr,sdr,pesq,estoi
aircraft,-30.0,noisy,50,-29.8511,-29.9991,1.1280,0.0418
aircraft,-30.0,wiener,50,-29.8509,-29.8401,1.1302,0.0413
aircraft,-25.0,noisy,50,-25.2018,-24.9997,1.1196,0.1142
aircraft,-25.0,wiener,50,-25.2895,-24.8415,1.1274,0.1146
aircraft,-20.0,noisy,50,-20.0879,-19.9999,1.0480,0.1950
aircraft,-20.0,wiener,50,-20.3610,-19.8880,1.0461,0.1957
aircraft,-15.0,noisy,50,-14.9049,-15.0000,1.1112,0.2740
aircraft,-15.0,wiener,50,-15.0834,-14.8384,1.1285,0.2768
aircraft,-10.0,noisy,50,-10.0037,-10.0000,1.0973,0.3263
aircraft,-10.0,wiener,50,-10.1553,-9.8639,1.1077,0.3297
aircraft,-5.0,noisy,50,-5.0453,-5.0000,1.1813,0.5300
aircraft,-5.0,wiener,50,-5.1843,-4.8429,1.1905,0.5285
aircraft,0.0,noisy,50,0.0001,0.0000,1.2544,0.5864
aircraft,0.0,wiener,50,-0.1373,0.1157,1.2846,0.5889
drone,-30.0,noisy,50,-30.9602,-29.9995,1.0469,0.0456
drone,-30.0,wiener,50,-31.0878,-29.6544,1.0655,0.0453
drone,-25.0,noisy,50,-26.2906,-24.4997,1.0601,0.0496
drone,-25.0,wiener,50,-26.3055,-24.0328,1.0837,0.0504
drone,-20.0,noisy,50,-20.0366,-20.0000,1.0681,0.1117
drone,-20.0,wiener,50,-19.9828,-19.5623,1.0600,0.1080
drone,-15.0,noisy,50,-16.4045,-14.7000,1.0574,0.2343
drone,-15.0,wiener,50,-16.2732,-14.2503,1.0611,0.2309
drone,-10.0,noisy,50,-10.0166,-10.0000,1.0985,0.2762
drone,-10.0,wiener,50,-9.9641,-9.5766,1.1053,0.2741
drone,-5.0,noisy,50,-5.0544,-5.0000,1.0708,0.4230
drone,-5.0,wiener,50,-4.9580,-4.5290,1.0768,0.4241
drone,0.0,noisy,50,-4.8029,0.0000,1.0998,0.4675
drone,0.0,wiener,50,-4.6646,0.3912,1.1042,0.4678
horns,-30.0,noisy,50,-29.9709,-29.9993,1.0546,0.0310
horns,-30.0,wiener,50,-30.3709,-29.8299,1.0616,0.0287
horns,-25.0,noisy,50,-26.1450,-24.9999,1.0767,0.0707
horns,-25.0,wiener,50,-26.6359,-24.8098,1.0809,0.0691
horns,-20.0,noisy,50,-19.9647,-20.0000,1.0804,0.1176
horns,-20.0,wiener,50,-20.2217,-19.8645,1.0786,0.1153
horns,-15.0,noisy,50,-15.1030,-15.0000,1.0498,0.2030
horns,-15.0,wiener,50,-15.3623,-14.7845,1.0514,0.2026
horns,-10.0,noisy,50,-10.0945,-10.0000,1.0540,0.2850
horns,-10.0,wiener,50,-10.2335,-9.8345,1.0561,0.2803
horns,-5.0,noisy,50,-5.0047,-5.0000,1.0670,0.4001
horns,-5.0,wiener,50,-5.1033,-4.7754,1.0692,0.4018
horns,0.0,noisy,50,-0.0020,0.0000,1.1266,0.5159
horns,0.0,wiener,50,-0.0408,0.2138,1.1310,0.5131
mimii,-30.0,noisy,50,-30.5868,-29.9999,1.0637,0.0013
mimii,-30.0,wiener,50,-30.8606,-29.6693,1.0907,0.0013
mimii,-25.0,noisy,50,-24.8290,-25.0000,1.0577,0.0236
mimii,-25.0,wiener,50,-25.1252,-24.6643,1.0701,0.0240
mimii,-20.0,noisy,50,-20.1105,-20.0000,1.0486,0.0498
mimii,-20.0,wiener,50,-20.4881,-19.6619,1.0487,0.0483
mimii,-15.0,noisy,50,-15.0594,-15.0000,1.0964,0.1133
mimii,-15.0,wiener,50,-15.2723,-14.6405,1.0597,0.1108
mimii,-10.0,noisy,50,-10.0216,-10.0000,1.0474,0.2203
mimii,-10.0,wiener,50,-10.3167,-9.6563,1.0943,0.2154
mimii,-5.0,noisy,50,-4.9798,-5.0000,1.0638,0.3448
mimii,-5.0,wiener,50,-5.0168,-4.6553,1.0593,0.3386
