category,input_snr,method,n,si_sdr,sdr,pesq,estoi
aircraft,-30.0,f1_dcunet_a,15,-9.5516,-4.1136,1.1139,0.0407
aircraft,-25.0,f1_dcunet_a,15,-9.2003,-2.3830,1.1522,0.0814
aircraft,-20.0,f1_dcunet_a,15,-13.3343,-0.9526,1.1438,0.1876
aircraft,-15.0,f1_dcunet_a,15,-11.3007,-0.7455,1.1559,0.1454
aircraft,-10.0,f1_dcunet_a,15,-11.8927,-0.5383,1.2467,0.3071
aircraft,-5.0,f1_dcunet_a,15,-5.6817,-0.4652,1.2448,0.4283
aircraft,0.0,f1_dcunet_a,15,-5.4469,-0.4662,1.4447,0.4213
drone,-30.0,f1_dcunet_a,15,-19.9927,-4.3255,1.1081,0.0304
drone,-25.0,f1_dcunet_a,15,-14.5925,-2.0046,1.0826,0.0505
drone,-20.0,f1_dcunet_a,15,-15.3437,-1.6382,1.0735,0.0961
drone,-15.0,f1_dcunet_a,15,-11.7273,-0.7566,1.1066,0.1905
drone,-10.0,f1_dcunet_a,15,-6.8501,-0.5466,1.1378,0.2562
drone,-5.0,f1_dcunet_a,15,-4.7718,-0.4760,1.1128,0.2922
drone,0.0,f1_dcunet_a,15,-1.1758,-0.5120,1.2364,0.4144
horns,-30.0,f1_dcunet_a,15,-27.9549,-5.3292,1.1192,0.0167
horns,-25.0,f1_dcunet_a,15,-23.0466,-2.6420,1.1279,0.0852
horns,-20.0,f1_dcunet_a,15,-16.9562,-1.5509,1.1387,0.1111
horns,-15.0,f1_dcunet_a,15,-11.9010,-0.6693,1.1077,0.1618
horns,-10.0,f1_dcunet_a,15,-9.0455,-0.5141,1.0962,0.2474
horns,-5.0,f1_dcunet_a,15,-3.5771,-0.6353,1.2543,0.3326
horns,0.0,f1_dcunet_a,15,-0.0615,-0.6612,1.3389,0.4391
mimii,-30.0,f1_dcunet_a,15,-14.7438,-4.4111,1.1246,0.0075
mimii,-25.0,f1_dcunet_a,15,-20.4129,-2.1875,1.0877,0.0225
mimii,-20.0,f1_dcunet_a,15,-29.9157,-1.1135,1.1269,0.0391
mimii,-15.0,f1_dcunet_a,15,-14.4253,-0.7545,1.0890,0.0967
mimii,-10.0,f1_dcunet_a,15,-7.4600,-0.6299,1.0731,0.1875
mimii,-5.0,f1_dcunet_a,15,-2.1716,-0.6459,1.1348,0.2653
mimii,0.0,f1_dcunet_a,15,-2.4052,-0.4704,1.1417,0.3698
mimii_dg,-30.0,f1_dcunet_a,15,-17.4203,-5.3918,1.1279,0.0147
mimii_dg,-25.0,f1_dcunet_a,15,-29.1726,-3.3867,1.1525,0.0101
mimii_dg,-20.0,f1_dcunet_a,15,-27.6998,-1.5356,1.1221,0.0254
mimii_dg,-15.0,f1_dcunet_a,15,-15.1893,-0.8921,1.1664,0.0947
mimii_dg,-10.0,f1_dcunet_a,15,-10.4272,-0.6465,1.1235,0.1380
mimii_dg,-5.0,f1_dcunet_a,15,-4.4011,-0.5704,1.0704,0.2513
mimii_dg,0.0,f1_dcunet_a,15,-2.2118,-0.5137,1.1812,0.3293
motors,-30.0,f1_dcunet_a,15,-31.9480,-7.2486,1.0677,0.0413
motors,-25.0,f1_dcunet_a,15,-29.4431,-5.6293,1.1106,0.0636
motors,-20.0,f1_dcunet_a,15,-23.2242,-2.5498,1.1242,0.1608
motors,-15.0,f1_dcunet_a,15,-16.9988,-1.3304,1.1525,0.1885
motors,-10.0,f1_dcunet_a,15,-12.0516,-0.8073,1.1141,0.3222
motors,-5.0,f1_dcunet_a,15,-7.9536,-0.7533,1.3642,0.3819
motors,0.0,f1_dcunet_a,15,-3.5909,-0.6080,1.3902,0.4082
