category,input_snr,method,n,si_sdr,sdr,pesq,estoi
aircraft,-30.0,f1_dcunet_b,15,-6.6280,-3.8610,1.1337,0.0435
aircraft,-25.0,f1_dcunet_b,15,-5.0152,-2.6771,1.2400,0.0852
aircraft,-20.0,f1_dcunet_b,15,-4.4879,-0.0703,1.2242,0.1831
aircraft,-15.0,f1_dcunet_b,15,-3.7103,0.1227,1.2004,0.1452
aircraft,-10.0,f1_dcunet_b,15,-4.9264,0.5825,1.3458,0.3082
aircraft,-5.0,f1_dcunet_b,15,-4.2284,0.8603,1.3585,0.4297
aircraft,0.0,f1_dcunet_b,15,-3.2278,1.0681,1.5638,0.4175
drone,-30.0,f1_dcunet_b,15,-19.6074,-8.7172,1.1265,0.0268
drone,-25.0,f1_dcunet_b,15,-16.3985,-4.2055,1.1076,0.0472
drone,-20.0,f1_dcunet_b,15,-14.1736,-3.4356,1.1278,0.0885
drone,-15.0,f1_dcunet_b,15,-10.4647,-0.6677,1.1264,0.1925
drone,-10.0,f1_dcunet_b,15,-3.8676,0.9478,1.1717,0.2522
drone,-5.0,f1_dcunet_b,15,-5.1964,0.8886,1.1349,0.2850
drone,0.0,f1_dcunet_b,15,-2.3999,1.0383,1.2821,0.4028
horns,-30.0,f1_dcunet_b,15,-26.7279,-9.2052,1.2007,0.0147
horns,-25.0,f1_dcunet_b,15,-20.2668,-4.9440,1.1411,0.0774
horns,-20.0,f1_dcunet_b,15,-17.9421,-2.6717,1.1930,0.1204
horns,-15.0,f1_dcunet_b,15,-11.5820,0.0750,1.1379,0.1807
horns,-10.0,f1_dcunet_b,15,-7.8126,0.5729,1.1644,0.2468
horns,-5.0,f1_dcunet_b,15,-2.6906,1.2623,1.2864,0.3270
horns,0.0,f1_dcunet_b,15,-1.4904,1.4812,1.5085,0.4549
mimii,-30.0,f1_dcunet_b,15,-21.3208,-12.8683,1.1420,0.0044
mimii,-25.0,f1_dcunet_b,15,-21.1523,-8.7626,1.1241,0.0245
mimii,-20.0,f1_dcunet_b,15,-18.2915,-3.9396,1.1247,0.0350
mimii,-15.0,f1_dcunet_b,15,-14.7780,-1.3937,1.0983,0.1010
mimii,-10.0,f1_dcunet_b,15,-9.5500,0.2401,1.0959,0.1783
mimii,-5.0,f1_dcunet_b,15,-7.0668,0.9271,1.1589,0.2655
mimii,0.0,f1_dcunet_b,15,-4.9733,0.9042,1.1220,0.3753
mimii_dg,-30.0,f1_dcunet_b,15,-21.4246,-11.8957,1.1626,0.0219
mimii_dg,-25.0,f1_dcunet_b,15,-21.7690,-8.5671,1.3905,0.0141
mimii_dg,-20.0,f1_dcunet_b,15,-17.3978,-3.7728,1.1546,0.0118
mimii_dg,-15.0,f1_dcunet_b,15,-15.0437,-1.0102,1.1563,0.0943
mimii_dg,-10.0,f1_dcunet_b,15,-10.8249,0.2247,1.1478,0.1295
mimii_dg,-5.0,f1_dcunet_b,15,-7.0596,0.8112,1.1028,0.2444
mimii_dg,0.0,f1_dcunet_b,15,-3.6443,1.0302,1.2173,0.3274
motors,-30.0,f1_dcunet_b,15,-21.4749,-5.1859,1.0849,0.0377
motors,-25.0,f1_dcunet_b,15,-21.9529,-3.2192,1.1694,0.0678
motors,-20.0,f1_dcunet_b,15,-13.3638,-0.7362,1.1418,0.1443
motors,-15.0,f1_dcunet_b,15,-9.4346,0.4214,1.1877,0.1902
motors,-10.0,f1_dcunet_b,15,-4.3647,1.0838,1.1443,0.3218
motors,-5.0,f1_dcunet_b,15,-3.6056,1.2180,1.4491,0.3692
motors,0.0,f1_dcunet_b,15,-2.6833,1.0238,1.4906,0.3989
