category,input_snr,method,n,si_sdr,sdr,pesq,estoi
aircraft,-30.0,f1_edge_bs_rof_a,15,-1.9621,-0.5394,1.0734,0.1397
aircraft,-25.0,f1_edge_bs_rof_a,15,-0.5710,-0.0306,1.0848,0.1966
aircraft,-20.0,f1_edge_bs_rof_a,15,-1.2985,1.5143,1.1567,0.3291
aircraft,-15.0,f1_edge_bs_rof_a,15,-1.7617,0.7206,1.1490,0.2706
aircraft,-10.0,f1_edge_bs_rof_a,15,3.5823,5.0168,1.3610,0.4601
aircraft,-5.0,f1_edge_bs_rof_a,15,5.9880,7.2916,1.8080,0.5991
aircraft,0.0,f1_edge_bs_rof_a,15,6.5103,7.1990,1.6575,0.5796
drone,-30.0,f1_edge_bs_rof_a,15,-10.9773,-2.3552,1.1015,0.0981
drone,-25.0,f1_edge_bs_rof_a,15,-7.6155,-0.9213,1.0574,0.1589
drone,-20.0,f1_edge_bs_rof_a,15,-7.4450,0.7612,1.1584,0.1719
drone,-15.0,f1_edge_bs_rof_a,15,-3.8498,2.1137,1.1735,0.3252
drone,-10.0,f1_edge_bs_rof_a,15,2.1971,4.0025,1.3117,0.4525
drone,-5.0,f1_edge_bs_rof_a,15,4.4136,5.7861,1.2600,0.5041
drone,0.0,f1_edge_bs_rof_a,15,6.9610,7.6483,1.4895,0.6086
horns,-30.0,f1_edge_bs_rof_a,15,-23.8664,-8.2983,1.0744,0.1061
horns,-25.0,f1_edge_bs_rof_a,15,-18.2312,-6.1910,1.0882,0.1496
horns,-20.0,f1_edge_bs_rof_a,15,-10.9740,-4.6365,1.1250,0.2070
horns,-15.0,f1_edge_bs_rof_a,15,-7.5145,-0.0747,1.0948,0.2689
horns,-10.0,f1_edge_bs_rof_a,15,-0.4928,2.4218,1.1940,0.3937
horns,-5.0,f1_edge_bs_rof_a,15,3.4000,4.9216,1.3887,0.5172
horns,0.0,f1_edge_bs_rof_a,15,6.2330,7.1486,1.5636,0.6352
mimii,-30.0,f1_edge_bs_rof_a,15,-10.1249,-3.4725,1.0911,0.0162
mimii,-25.0,f1_edge_bs_rof_a,15,-8.0185,-0.3377,1.0736,0.0278
mimii,-20.0,f1_edge_bs_rof_a,15,-8.2022,0.1803,1.0743,0.0575
mimii,-15.0,f1_edge_bs_rof_a,15,-5.6222,0.3525,1.2216,0.1460
mimii,-10.0,f1_edge_bs_rof_a,15,-0.1545,2.7536,1.1270,0.2689
mimii,-5.0,f1_edge_bs_rof_a,15,0.1581,3.7204,1.1787,0.3651
mimii,0.0,f1_edge_bs_rof_a,15,3.6448,4.9319,1.2631,0.5547
mimii_dg,-30.0,f1_edge_bs_rof_a,15,-9.3822,-1.9685,1.1190,0.0125
mimii_dg,-25.0,f1_edge_bs_rof_a,15,-10.5177,-0.5398,1.0817,0.0308
mimii_dg,-20.0,f1_edge_bs_rof_a,15,-10.5164,0.1140,1.0810,0.0614
mimii_dg,-15.0,f1_edge_bs_rof_a,15,-7.1426,0.6621,1.1077,0.1225
mimii_dg,-10.0,f1_edge_bs_rof_a,15,-3.0369,1.4152,1.1042,0.1999
mimii_dg,-5.0,f1_edge_bs_rof_a,15,-0.5434,2.3631,1.1581,0.3273
mimii_dg,0.0,f1_edge_bs_rof_a,15,2.5738,4.2865,1.3035,0.4515
motors,-30.0,f1_edge_bs_rof_a,15,-17.5813,-6.6991,1.0630,0.1701
motors,-25.0,f1_edge_bs_rof_a,15,-19.3303,-10.2317,1.0966,0.1909
motors,-20.0,f1_edge_bs_rof_a,15,-10.3213,-3.9972,1.1575,0.3150
motors,-15.0,f1_edge_bs_rof_a,15,-4.8951,-0.6780,1.1437,0.3798
motors,-10.0,f1_edge_bs_rof_a,15,1.6918,2.9946,1.3599,0.5559
motors,-5.0,f1_edge_bs_rof_a,15,1.9097,3.4122,1.4868,0.5307
motors,0.0,f1_edge_bs_rof_a,15,9.8236,10.1817,1.7210,0.6405
