category,input_snr,method,n,si_sdr,sdr,pesq,estoi
aircraft,-30.0,f1_edge_bs_rof_b,15,-3.1228,-1.0912,1.0674,0.1307
aircraft,-25.0,f1_edge_bs_rof_b,15,-1.0564,-0.3283,1.0518,0.1829
aircraft,-20.0,f1_edge_bs_rof_b,15,-1.6882,0.7907,1.0848,0.2872
aircraft,-15.0,f1_edge_bs_rof_b,15,-0.2983,0.9632,1.0881,0.2431
aircraft,-10.0,f1_edge_bs_rof_b,15,3.1405,3.7439,1.2355,0.4425
aircraft,-5.0,f1_edge_bs_rof_b,15,6.4416,5.9955,1.4877,0.5618
aircraft,0.0,f1_edge_bs_rof_b,15,6.7758,6.3504,1.4583,0.5448
drone,-30.0,f1_edge_bs_rof_b,15,-13.5639,-4.2729,1.0834,0.0762
drone,-25.0,f1_edge_bs_rof_b,15,-13.1566,-3.0850,1.0645,0.1187
drone,-20.0,f1_edge_bs_rof_b,15,-13.8536,-3.8539,1.0599,0.1460
drone,-15.0,f1_edge_bs_rof_b,15,-8.8963,-2.5908,1.0911,0.2937
drone,-10.0,f1_edge_bs_rof_b,15,-0.4501,2.3164,1.1344,0.3782
drone,-5.0,f1_edge_bs_rof_b,15,1.5949,3.0789,1.1111,0.4245
drone,0.0,f1_edge_bs_rof_b,15,5.8691,5.3829,1.2123,0.5507
horns,-30.0,f1_edge_bs_rof_b,15,-17.6974,-6.5877,1.0723,0.0858
horns,-25.0,f1_edge_bs_rof_b,15,-15.8190,-6.1923,1.1248,0.1722
horns,-20.0,f1_edge_bs_rof_b,15,-11.0383,-2.8965,1.0791,0.2089
horns,-15.0,f1_edge_bs_rof_b,15,-5.2364,0.6824,1.0806,0.3071
horns,-10.0,f1_edge_bs_rof_b,15,-1.0538,2.0358,1.1576,0.3738
horns,-5.0,f1_edge_bs_rof_b,15,2.9059,3.7713,1.2692,0.5051
horns,0.0,f1_edge_bs_rof_b,15,5.4638,5.7240,1.4120,0.5914
mimii,-30.0,f1_edge_bs_rof_b,15,-27.6731,-20.5034,1.0601,0.0035
mimii,-25.0,f1_edge_bs_rof_b,15,-25.7695,-15.6328,1.0765,0.0270
mimii,-20.0,f1_edge_bs_rof_b,15,-22.2853,-10.0713,1.0394,0.0450
mimii,-15.0,f1_edge_bs_rof_b,15,-17.1316,-5.6209,1.0424,0.1234
mimii,-10.0,f1_edge_bs_rof_b,15,-13.0881,-2.5890,1.0366,0.2229
mimii,-5.0,f1_edge_bs_rof_b,15,-5.9961,0.2243,1.0655,0.3389
mimii,0.0,f1_edge_bs_rof_b,15,0.2487,2.8347,1.0866,0.4911
mimii_dg,-30.0,f1_edge_bs_rof_b,15,-15.4175,-6.9928,1.0443,0.0071
mimii_dg,-25.0,f1_edge_bs_rof_b,15,-15.7094,-3.0368,1.0468,0.0290
mimii_dg,-20.0,f1_edge_bs_rof_b,15,-13.8205,-1.3814,1.0313,0.0447
mimii_dg,-15.0,f1_edge_bs_rof_b,15,-11.8801,-0.4564,1.0338,0.1195
mimii_dg,-10.0,f1_edge_bs_rof_b,15,-8.9574,0.3293,1.0418,0.1668
mimii_dg,-5.0,f1_edge_bs_rof_b,15,-3.8724,1.2792,1.0999,0.3064
mimii_dg,0.0,f1_edge_bs_rof_b,15,1.2120,1.4544,1.1124,0.4250
motors,-30.0,f1_edge_bs_rof_b,15,-16.0306,-0.6405,1.0420,0.1226
motors,-25.0,f1_edge_bs_rof_b,15,-10.9742,0.1391,1.0656,0.1812
motors,-20.0,f1_edge_bs_rof_b,15,-5.5656,0.8110,1.0658,0.2914
motors,-15.0,f1_edge_bs_rof_b,15,-1.3812,1.4908,1.0710,0.3306
motors,-10.0,f1_edge_bs_rof_b,15,3.4911,3.2761,1.1382,0.4874
motors,-5.0,f1_edge_bs_rof_b,15,3.4540,5.0007,1.3120,0.5245
motors,0.0,f1_edge_bs_rof_b,15,7.5371,7.1513,1.4142,0.5937
