category,arch,pass,si_sdr_mean,estoi_mean,noisy_si_sdr
drone,dcunet,a,-10.6363,0.1900,-16.2237
mimii,dcunet,a,-13.0764,0.1412,-15.0806
mimii_dg,dcunet,a,-15.2174,0.1234,-15.0911
aircraft,dcunet,a,-9.4869,0.2303,-15.0135
motors,dcunet,a,-17.8872,0.2238,-14.9015
horns,dcunet,a,-13.2204,0.1991,-15.1835
drone,dcunet,b,-10.3012,0.1850,-16.2237
mimii,dcunet,b,-13.8761,0.1406,-15.0806
mimii_dg,dcunet,b,-13.8806,0.1205,-15.0911
aircraft,dcunet,b,-4.6034,0.2303,-15.0135
motors,dcunet,b,-10.9828,0.2186,-14.9015
horns,dcunet,b,-12.6446,0.2031,-15.1835
drone,mpsenet,a,2.0400,0.4628,-16.2237
mimii,mpsenet,a,-0.3261,0.3209,-15.0806
mimii_dg,mpsenet,a,-2.8499,0.2737,-15.0911
aircraft,mpsenet,a,5.9248,0.4922,-15.0135
motors,mpsenet,a,2.6816,0.5536,-14.9015
horns,mpsenet,a,-3.3104,0.4408,-15.1835
drone,mpsenet,b,0.2281,0.4649,-16.2237
mimii,mpsenet,b,-5.1887,0.3366,-15.0806
mimii_dg,mpsenet,b,-10.4245,0.2899,-15.0911
aircraft,mpsenet,b,1.5962,0.5199,-15.0135
motors,mpsenet,b,4.7104,0.5690,-14.9015
horns,mpsenet,b,0.4886,0.5228,-15.1835
drone,tfgridnet,a,-2.1882,0.3681,-16.2237
mimii,tfgridnet,a,-6.9006,0.2440,-15.0806
mimii_dg,tfgridnet,a,-8.0054,0.2152,-15.0911
aircraft,tfgridnet,a,-2.5109,0.3867,-15.0135
motors,tfgridnet,a,-4.8460,0.3778,-14.9015
horns,tfgridnet,a,-7.7232,0.3454,-15.1835
drone,tfgridnet,b,-3.9942,0.3442,-16.2237
mimii,tfgridnet,b,-6.9444,0.2413,-15.0806
mimii_dg,tfgridnet,b,-8.1917,0.2088,-15.0911
aircraft,tfgridnet,b,-0.6029,0.3938,-15.0135
motors,tfgridnet,b,2.0208,0.4480,-14.9015
horns,tfgridnet,b,-3.8210,0.3635,-15.1835
drone,edge_bs_rof,a,-2.3308,0.3313,-16.2237
mimii,edge_bs_rof,a,-4.0456,0.2052,-15.0806
mimii_dg,edge_bs_rof,a,-5.5093,0.1723,-15.0911
aircraft,edge_bs_rof,a,1.4982,0.3678,-15.0135
motors,edge_bs_rof,a,-5.5290,0.3976,-14.9015
horns,edge_bs_rof,a,-7.3494,0.3254,-15.1835
drone,edge_bs_rof,b,-6.0652,0.2840,-16.2237
mimii,edge_bs_rof,b,-15.9564,0.1788,-15.0806
mimii_dg,edge_bs_rof,b,-9.7779,0.1569,-15.0911
aircraft,edge_bs_rof,b,1.4560,0.3419,-15.0135
motors,edge_bs_rof,b,-2.7813,0.3616,-14.9015
horns,edge_bs_rof,b,-6.0679,0.3206,-15.1835
