category,input_snr,method,n,si_sdr,sdr,pesq,estoi
aircraft,-30.0,f1_mpsenet_a,15,-0.3371,0.6344,1.1000,0.1909
aircraft,-25.0,f1_mpsenet_a,15,2.0198,2.6734,1.1929,0.3220
aircraft,-20.0,f1_mpsenet_a,15,3.4537,5.3033,1.3643,0.4903
aircraft,-15.0,f1_mpsenet_a,15,3.5887,4.7437,1.3039,0.3948
aircraft,-10.0,f1_mpsenet_a,15,8.7498,9.5661,1.7648,0.5911
aircraft,-5.0,f1_mpsenet_a,15,11.4239,12.0299,2.4583,0.7214
aircraft,0.0,f1_mpsenet_a,15,12.5745,12.8491,2.2771,0.7347
drone,-30.0,f1_mpsenet_a,15,-8.5933,-2.5638,1.0854,0.1739
drone,-25.0,f1_mpsenet_a,15,-6.1666,-0.9969,1.1038,0.2023
drone,-20.0,f1_mpsenet_a,15,-3.0928,1.3902,1.1380,0.2512
drone,-15.0,f1_mpsenet_a,15,3.3039,5.0904,1.3904,0.5011
drone,-10.0,f1_mpsenet_a,15,7.6241,8.2618,1.6581,0.6539
drone,-5.0,f1_mpsenet_a,15,8.6461,9.0263,1.6538,0.6641
drone,0.0,f1_mpsenet_a,15,12.5586,12.6939,2.2294,0.7930
horns,-30.0,f1_mpsenet_a,15,-19.4159,-10.7858,1.0738,0.1373
horns,-25.0,f1_mpsenet_a,15,-14.3394,-7.2283,1.1094,0.2284
horns,-20.0,f1_mpsenet_a,15,-9.0502,-5.3355,1.2066,0.2913
horns,-15.0,f1_mpsenet_a,15,-1.4783,0.9088,1.1566,0.4246
horns,-10.0,f1_mpsenet_a,15,2.8716,4.1082,1.4273,0.5564
horns,-5.0,f1_mpsenet_a,15,7.5928,7.9673,1.6114,0.6724
horns,0.0,f1_mpsenet_a,15,10.6464,10.9546,2.0605,0.7755
mimii,-30.0,f1_mpsenet_a,15,-9.5983,-3.2361,1.0953,0.0125
mimii,-25.0,f1_mpsenet_a,15,-5.9674,0.1014,1.1520,0.0627
mimii,-20.0,f1_mpsenet_a,15,-6.1536,0.4805,1.1280,0.0909
mimii,-15.0,f1_mpsenet_a,15,-0.7151,2.5888,1.1480,0.3018
mimii,-10.0,f1_mpsenet_a,15,3.4069,4.9100,1.2772,0.4636
mimii,-5.0,f1_mpsenet_a,15,6.4138,7.6808,1.4794,0.5793
mimii,0.0,f1_mpsenet_a,15,10.3309,10.6767,1.8783,0.7356
mimii_dg,-30.0,f1_mpsenet_a,15,-13.0061,-4.8525,1.1306,0.0032
mimii_dg,-25.0,f1_mpsenet_a,15,-10.4084,-0.7593,1.1058,0.0394
mimii_dg,-20.0,f1_mpsenet_a,15,-7.1392,0.4389,1.1075,0.0857
mimii_dg,-15.0,f1_mpsenet_a,15,-3.2382,1.5735,1.1087,0.2068
mimii_dg,-10.0,f1_mpsenet_a,15,1.5108,3.5571,1.1944,0.3819
mimii_dg,-5.0,f1_mpsenet_a,15,4.1329,5.7700,1.3737,0.5267
mimii_dg,0.0,f1_mpsenet_a,15,8.1988,8.8046,1.5928,0.6720
motors,-30.0,f1_mpsenet_a,15,-8.8216,-1.1452,1.1022,0.2756
motors,-25.0,f1_mpsenet_a,15,-5.7432,-0.3892,1.1526,0.3086
motors,-20.0,f1_mpsenet_a,15,0.1492,2.3351,1.3545,0.4964
motors,-15.0,f1_mpsenet_a,15,3.2704,4.7027,1.5205,0.5597
motors,-10.0,f1_mpsenet_a,15,8.5689,8.8542,1.8897,0.7211
motors,-5.0,f1_mpsenet_a,15,9.0204,9.5295,2.1293,0.7247
motors,0.0,f1_mpsenet_a,15,12.3270,12.3259,2.4495,0.7891
