category,input_snr,method,n,si_sdr,sdr,pesq,estoi
aircraft,-30.0,f1_mpsenet_b,15,-5.9886,-3.3825,1.1131,0.2065
aircraft,-25.0,f1_mpsenet_b,15,-5.6526,-4.1035,1.2368,0.3505
aircraft,-20.0,f1_mpsenet_b,15,-4.4553,-4.9880,1.4420,0.5274
aircraft,-15.0,f1_mpsenet_b,15,-4.4051,-4.8627,1.3896,0.4300
aircraft,-10.0,f1_mpsenet_b,15,6.3661,-5.5866,1.9101,0.6143
aircraft,-5.0,f1_mpsenet_b,15,12.4130,-5.8474,2.5640,0.7391
aircraft,0.0,f1_mpsenet_b,15,12.8959,-6.0271,2.3501,0.7715
drone,-30.0,f1_mpsenet_b,15,-12.5919,-6.0266,1.0867,0.1533
drone,-25.0,f1_mpsenet_b,15,-8.3103,-4.9125,1.1277,0.2080
drone,-20.0,f1_mpsenet_b,15,-5.3192,-3.9816,1.1354,0.2700
drone,-15.0,f1_mpsenet_b,15,0.3140,-5.3406,1.3914,0.5149
drone,-10.0,f1_mpsenet_b,15,6.0768,-5.9074,1.6294,0.6574
drone,-5.0,f1_mpsenet_b,15,8.5776,-5.9759,1.6749,0.6655
drone,0.0,f1_mpsenet_b,15,12.8495,-6.0792,2.1254,0.7853
horns,-30.0,f1_mpsenet_b,15,-11.9110,-5.6594,1.0878,0.1963
horns,-25.0,f1_mpsenet_b,15,-7.1522,-4.2950,1.1796,0.3382
horns,-20.0,f1_mpsenet_b,15,-1.8040,-4.6862,1.2014,0.3966
horns,-15.0,f1_mpsenet_b,15,2.0690,-5.3107,1.3150,0.5179
horns,-10.0,f1_mpsenet_b,15,3.8393,-5.8201,1.6082,0.6423
horns,-5.0,f1_mpsenet_b,15,5.7244,-6.0428,1.8550,0.7473
horns,0.0,f1_mpsenet_b,15,12.6547,-6.0700,2.2430,0.8212
mimii,-30.0,f1_mpsenet_b,15,-30.3838,-12.6034,1.0802,0.0368
mimii,-25.0,f1_mpsenet_b,15,-17.9188,-7.8304,1.0674,0.0589
mimii,-20.0,f1_mpsenet_b,15,-11.5782,-6.7269,1.0564,0.0996
mimii,-15.0,f1_mpsenet_b,15,0.2827,-4.8457,1.1545,0.3244
mimii,-10.0,f1_mpsenet_b,15,4.3075,-5.6141,1.3125,0.5004
mimii,-5.0,f1_mpsenet_b,15,8.5255,-6.1706,1.5110,0.5930
mimii,0.0,f1_mpsenet_b,15,10.4443,-5.9947,1.8564,0.7430
mimii_dg,-30.0,f1_mpsenet_b,15,-29.5191,-16.5861,1.1359,0.0076
mimii_dg,-25.0,f1_mpsenet_b,15,-27.0346,-14.4656,1.1348,0.0329
mimii_dg,-20.0,f1_mpsenet_b,15,-17.9449,-10.0213,1.0700,0.0972
mimii_dg,-15.0,f1_mpsenet_b,15,-9.0020,-7.1793,1.0794,0.2375
mimii_dg,-10.0,f1_mpsenet_b,15,-1.3176,-6.3833,1.1535,0.4108
mimii_dg,-5.0,f1_mpsenet_b,15,3.6076,-6.2326,1.2804,0.5481
mimii_dg,0.0,f1_mpsenet_b,15,8.2393,-6.0633,1.6274,0.6955
motors,-30.0,f1_mpsenet_b,15,-5.9562,-4.1684,1.1092,0.2914
motors,-25.0,f1_mpsenet_b,15,-2.9089,-4.1835,1.1436,0.3015
motors,-20.0,f1_mpsenet_b,15,3.2836,-5.5383,1.4198,0.5075
motors,-15.0,f1_mpsenet_b,15,6.0101,-5.6691,1.5807,0.5892
motors,-10.0,f1_mpsenet_b,15,10.5141,-6.0291,1.9729,0.7423
motors,-5.0,f1_mpsenet_b,15,9.5880,-5.6051,2.1009,0.7449
motors,0.0,f1_mpsenet_b,15,12.4421,-5.6431,2.5093,0.8065
