category,input_snr,method,n,si_sdr,sdr,pesq,estoi
aircraft,-30.0,f1_tfgridnet_a,15,-14.3185,-9.2864,1.0515,0.1103
aircraft,-25.0,f1_tfgridnet_a,15,-11.3951,-7.9751,1.0638,0.1910
aircraft,-20.0,f1_tfgridnet_a,15,-6.6489,-5.9182,1.1298,0.3636
aircraft,-15.0,f1_tfgridnet_a,15,-7.1044,-6.0983,1.1527,0.2698
aircraft,-10.0,f1_tfgridnet_a,15,3.4949,-6.1058,1.4652,0.4906
aircraft,-5.0,f1_tfgridnet_a,15,9.0930,-6.2718,1.7668,0.6520
aircraft,0.0,f1_tfgridnet_a,15,9.3030,-6.2545,1.7562,0.6298
drone,-30.0,f1_tfgridnet_a,15,-15.1929,-9.1275,1.0684,0.0789
drone,-25.0,f1_tfgridnet_a,15,-12.6879,-6.4217,1.1187,0.1386
drone,-20.0,f1_tfgridnet_a,15,-6.8346,-4.2816,1.0809,0.1812
drone,-15.0,f1_tfgridnet_a,15,-1.4985,-5.0833,1.2300,0.3867
drone,-10.0,f1_tfgridnet_a,15,3.8175,-5.7340,1.4202,0.5319
drone,-5.0,f1_tfgridnet_a,15,6.9577,-5.8079,1.4187,0.5785
drone,0.0,f1_tfgridnet_a,15,10.1215,-5.9491,1.6699,0.6811
horns,-30.0,f1_tfgridnet_a,15,-27.6801,-15.1559,1.0859,0.0654
horns,-25.0,f1_tfgridnet_a,15,-17.6481,-10.8330,1.0786,0.1477
horns,-20.0,f1_tfgridnet_a,15,-11.1697,-9.4567,1.1250,0.1919
horns,-15.0,f1_tfgridnet_a,15,-6.0602,-6.1223,1.1114,0.3221
horns,-10.0,f1_tfgridnet_a,15,-0.1567,-5.9178,1.2792,0.4542
horns,-5.0,f1_tfgridnet_a,15,1.5566,-6.1061,1.3665,0.5602
horns,0.0,f1_tfgridnet_a,15,7.0960,-5.8676,1.6274,0.6761
mimii,-30.0,f1_tfgridnet_a,15,-21.5790,-7.0510,1.1034,0.0102
mimii,-25.0,f1_tfgridnet_a,15,-23.5263,-4.8269,1.1740,0.0352
mimii,-20.0,f1_tfgridnet_a,15,-16.0325,-2.3717,1.1367,0.0605
mimii,-15.0,f1_tfgridnet_a,15,-2.4079,-3.7628,1.1149,0.1850
mimii,-10.0,f1_tfgridnet_a,15,2.0950,-4.7393,1.2099,0.3162
mimii,-5.0,f1_tfgridnet_a,15,4.4943,-5.1523,1.3152,0.4403
mimii,0.0,f1_tfgridnet_a,15,8.6522,-5.8810,1.4575,0.6605
mimii_dg,-30.0,f1_tfgridnet_a,15,-18.3735,-5.7131,1.1887,0.0132
mimii_dg,-25.0,f1_tfgridnet_a,15,-28.0321,-4.1471,1.1059,0.0207
mimii_dg,-20.0,f1_tfgridnet_a,15,-14.9216,-2.4205,1.1103,0.0570
mimii_dg,-15.0,f1_tfgridnet_a,15,-4.1235,-3.1196,1.0867,0.1502
mimii_dg,-10.0,f1_tfgridnet_a,15,-0.5796,-4.0487,1.1494,0.2490
mimii_dg,-5.0,f1_tfgridnet_a,15,3.8615,-4.9665,1.2637,0.4329
mimii_dg,0.0,f1_tfgridnet_a,15,6.1310,-5.1967,1.4450,0.5834
motors,-30.0,f1_tfgridnet_a,15,-13.3850,-14.7902,1.0609,0.1302
motors,-25.0,f1_tfgridnet_a,15,-16.7444,-16.4246,1.0995,0.1275
motors,-20.0,f1_tfgridnet_a,15,-8.9356,-12.1178,1.1516,0.2911
motors,-15.0,f1_tfgridnet_a,15,-4.0452,-9.2087,1.2175,0.3667
motors,-10.0,f1_tfgridnet_a,15,0.8855,-7.9893,1.3413,0.5365
motors,-5.0,f1_tfgridnet_a,15,0.8713,-6.6644,1.3276,0.5386
motors,0.0,f1_tfgridnet_a,15,7.4312,-6.2438,1.7509,0.6537
