category,input_snr,method,n,si_sdr,sdr,pesq,estoi
aircraft,-30.0,f1_tfgridnet_b,15,-7.3596,-4.1174,1.0996,0.1261
aircraft,-25.0,f1_tfgridnet_b,15,-7.6550,-3.5731,1.0718,0.1988
aircraft,-20.0,f1_tfgridnet_b,15,-3.9009,-3.9074,1.1764,0.3497
aircraft,-15.0,f1_tfgridnet_b,15,-6.9244,-3.2399,1.1478,0.2769
aircraft,-10.0,f1_tfgridnet_b,15,3.8297,-4.4497,1.4788,0.5135
aircraft,-5.0,f1_tfgridnet_b,15,9.3800,-5.4732,1.9845,0.6550
aircraft,0.0,f1_tfgridnet_b,15,8.4101,-4.9240,1.7954,0.6365
drone,-30.0,f1_tfgridnet_b,15,-16.6154,-7.3109,1.0614,0.0681
drone,-25.0,f1_tfgridnet_b,15,-14.3105,-4.5423,1.1146,0.1310
drone,-20.0,f1_tfgridnet_b,15,-8.4215,-2.7104,1.0940,0.1784
drone,-15.0,f1_tfgridnet_b,15,-3.5350,-4.0011,1.1784,0.3552
drone,-10.0,f1_tfgridnet_b,15,2.0132,-4.3144,1.3527,0.5020
drone,-5.0,f1_tfgridnet_b,15,4.0347,-4.2839,1.2733,0.5124
drone,0.0,f1_tfgridnet_b,15,8.8748,-4.9304,1.5858,0.6623
horns,-30.0,f1_tfgridnet_b,15,-17.3398,-4.3699,1.1172,0.0815
horns,-25.0,f1_tfgridnet_b,15,-9.3202,-3.1689,1.0776,0.1655
horns,-20.0,f1_tfgridnet_b,15,-7.7439,-3.7750,1.1193,0.2137
horns,-15.0,f1_tfgridnet_b,15,-1.6137,-3.5875,1.1460,0.3702
horns,-10.0,f1_tfgridnet_b,15,0.9851,-4.2691,1.3114,0.4631
horns,-5.0,f1_tfgridnet_b,15,2.3192,-4.2969,1.4927,0.5747
horns,0.0,f1_tfgridnet_b,15,5.9664,-4.5347,1.6063,0.6760
mimii,-30.0,f1_tfgridnet_b,15,-13.9144,-3.9056,1.0716,0.0093
mimii,-25.0,f1_tfgridnet_b,15,-21.4464,-2.5324,1.0700,0.0186
mimii,-20.0,f1_tfgridnet_b,15,-19.6642,-1.5657,1.0532,0.0668
mimii,-15.0,f1_tfgridnet_b,15,-4.6280,-2.2850,1.0781,0.1793
mimii,-10.0,f1_tfgridnet_b,15,1.4387,-3.6953,1.1383,0.3440
mimii,-5.0,f1_tfgridnet_b,15,2.1131,-4.0653,1.2309,0.4359
mimii,0.0,f1_tfgridnet_b,15,7.4905,-4.9623,1.3157,0.6354
mimii_dg,-30.0,f1_tfgridnet_b,15,-13.9408,-3.2900,1.1045,0.0041
mimii_dg,-25.0,f1_tfgridnet_b,15,-24.5758,-1.7837,1.0799,0.0377
mimii_dg,-20.0,f1_tfgridnet_b,15,-18.5979,-1.4561,1.0871,0.0605
mimii_dg,-15.0,f1_tfgridnet_b,15,-7.2647,-1.9014,1.0920,0.1445
mimii_dg,-10.0,f1_tfgridnet_b,15,-1.2693,-2.8289,1.1374,0.2368
mimii_dg,-5.0,f1_tfgridnet_b,15,1.3790,-3.8624,1.2248,0.3893
mimii_dg,0.0,f1_tfgridnet_b,15,6.9275,-4.5371,1.4411,0.5890
motors,-30.0,f1_tfgridnet_b,15,-10.4200,-3.4403,1.0666,0.1214
motors,-25.0,f1_tfgridnet_b,15,-7.0205,-3.0470,1.0860,0.1787
motors,-20.0,f1_tfgridnet_b,15,0.7652,-4.4624,1.2364,0.3903
motors,-15.0,f1_tfgridnet_b,15,3.5552,-4.5180,1.2945,0.4493
motors,-10.0,f1_tfgridnet_b,15,8.5732,-5.6743,1.5745,0.6254
motors,-5.0,f1_tfgridnet_b,15,8.1569,-5.0227,1.7268,0.6335
motors,0.0,f1_tfgridnet_b,15,10.5355,-5.1703,2.1712,0.7371
