arm,source,regime,mae,frames
old,DREGON,free,3.0262256760195076,4482.0
old,DREGON,warmup,11.017516038703675,196.0
old,DREGON,zero,6.19194254384076,844.0
old,FLY124,free,2.9592934779381945,2349.0
old,FLY124,warmup,5.317591387193756,1083.0
old,FLY124,zero,30.492759926416618,333.0
old,ALL,all,4.717712613116329,
new,DREGON,free,3.240480014864008,4482.0
new,DREGON,warmup,15.829467236007355,196.0
new,DREGON,zero,6.411104235717154,844.0
new,FLY124,free,3.114646211082553,2349.0
new,FLY124,warmup,3.286011794752279,1083.0
new,FLY124,zero,4.987923641749252,333.0
new,ALL,all,3.83045249015563,
